doc_id,committee_name,session_date,source_url,session_title,utterance_from,utterance_to,subject_label,tags
25_ptv_2559210,ועדת_הכספים,2023-05-04,https://fs.knesset.gov.il/25/Committees/25_ptv_2559210.doc,"פרק י' (צמצום השימוש במזומן) מתוך הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות התקציב 2023 ו-2024), התשפ""ג-2023,  מ/1612",1,47,הצגת הצעת חוק צמצום השימוש במזומן,מזומן | פשיעה | הון שחור
25_ptv_2559210,ועדת_הכספים,2023-05-04,https://fs.knesset.gov.il/25/Committees/25_ptv_2559210.doc,"פרק י' (צמצום השימוש במזומן) מתוך הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות התקציב 2023 ו-2024), התשפ""ג-2023,  מ/1612",48,82,עמדות גורמי האכיפה / נגישות מגזר ערבי לבנקים,מגזר ערבי | בנק ישראל | רשות הלבנת הון
25_ptv_2559210,ועדת_הכספים,2023-05-04,https://fs.knesset.gov.il/25/Committees/25_ptv_2559210.doc,"פרק י' (צמצום השימוש במזומן) מתוך הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות התקציב 2023 ו-2024), התשפ""ג-2023,  מ/1612",83,140,פרטי ההסדר: חובת דיווח ואיסור החזקת מזומן,חובת דיווח | עמדות חברי כנסת
25_ptv_2559210,ועדת_הכספים,2023-05-04,https://fs.knesset.gov.il/25/Committees/25_ptv_2559210.doc,"פרק י' (צמצום השימוש במזומן) מתוך הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות התקציב 2023 ו-2024), התשפ""ג-2023,  מ/1612",141,188,"עמדת משרד המשפטים ועמדת היו""ר המסכמת","משרד המשפטים | עמדת יו""ר"
25_ptv_1622644,ועדת_הכספים,2023-01-04,https://fs.knesset.gov.il/25/Committees/25_ptv_1622644.doc,"בקשה לאישור השקעת המדינה בחברת נצר השרון בע""מ בהתאם לסעיף 10 לחוק החברות הממשלתיות, התשל""ה- 1975",1,12,פתיחת ישיבה / שיחה על הר הבית,הר הבית | פתיחה
25_ptv_1622644,ועדת_הכספים,2023-01-04,https://fs.knesset.gov.il/25/Committees/25_ptv_1622644.doc,"בקשה לאישור השקעת המדינה בחברת נצר השרון בע""מ בהתאם לסעיף 10 לחוק החברות הממשלתיות, התשל""ה- 1975",13,51,סקירת חברת נצר השרון ובקשת תקציב שוטף 2022,נצר השרון | תקציב שוטף | חברות ממשלתיות
25_ptv_1622644,ועדת_הכספים,2023-01-04,https://fs.knesset.gov.il/25/Committees/25_ptv_1622644.doc,"בקשה לאישור השקעת המדינה בחברת נצר השרון בע""מ בהתאם לסעיף 10 לחוק החברות הממשלתיות, התשל""ה- 1975",52,201,נבחרת הדירקטורים לחברות ממשלתיות – ייצוג וקריטריונים,נבחרת דירקטורים | ייצוג חרדים | ייצוג עולים
25_ptv_1622644,ועדת_הכספים,2023-01-04,https://fs.knesset.gov.il/25/Committees/25_ptv_1622644.doc,"בקשה לאישור השקעת המדינה בחברת נצר השרון בע""מ בהתאם לסעיף 10 לחוק החברות הממשלתיות, התשל""ה- 1975",202,267,בחינת פרטי תקציב 2022 ואישור הבקשה,תקציב | שכר דירה | ביטוחים | אישור
25_ptv_2508164,ועדת_הכספים,2023-04-30,https://fs.knesset.gov.il/25/Committees/25_ptv_2508164.doc,"הצעת תקנות מס הכנסה (שיעור המס על הכנסה בעד עבודה במשמרות) (תיקון), התשפ""ג-2023",1,70,תקנות מס הכנסה – שיעור מס על עבודה במשמרות,מס הכנסה | עבודה במשמרות | הוראת שעה
25_ptv_2508164,ועדת_הכספים,2023-04-30,https://fs.knesset.gov.il/25/Committees/25_ptv_2508164.doc,"הצעת תקנות מס הכנסה (שיעור המס על הכנסה בעד עבודה במשמרות) (תיקון), התשפ""ג-2023",71,87,תקנות פחת מואץ – עיכוב ודרישה להסדרה,פחת מואץ | השקעות
